nome,idade,email,telefone
Natália Nogueira,62,bernardo11@souza.br,+55 (051) 6945-3085
Joaquim Silva,87,caldeiracecilia@cunha.com,(011) 0234 1200
Dra. Emilly Jesus,74,ojesus@jesus.br,+55 (011) 5314 2578
Gabriel Alves,70,rodriguespedro@sales.org,+55 (051) 9844 8363
Alana Duarte,28,julianafreitas@uol.com.br,(031) 4222-7954
Vitor Sales,64,wda-cruz@uol.com.br,(084) 3851 3327
Sr. Theo da Costa,57,fernandesmaysa@costa.net,+55 84 2226 9000
Diogo Gonçalves,48,francisco55@duarte.br,+55 84 5406 1818
Nina Costa,9,vitor-hugo00@freitas.br,+55 (011) 1417 3138
Maysa da Rosa,24,da-conceicaobrenda@hotmail.com,21 1986-1771
Dr. Henrique Castro,28,rochalevi@castro.br,81 9619 1139
Isabel Cardoso,0,gabrielamoraes@ig.com.br,(041) 9706 9522
Nicolas da Rosa,25,maria-cecilia53@uol.com.br,71 1616-6017
Raul Rodrigues,93,julia68@ribeiro.br,71 5589-1220
Dr. Theo Pires,60,manuela46@gmail.com,+55 31 8921-4153
Ana Vitória Sales,57,felipesilva@yahoo.com.br,+55 (081) 1193-5512
Maria Eduarda Barros,86,nogueiraelisa@souza.br,71 6643-3328
Laura Almeida,82,eoliveira@porto.net,+55 (011) 0111 7193
Augusto Moreira,45,rodrigoalmeida@da.org,+55 (084) 7591-5384
Thomas Correia,26,vinicius25@pires.com,(031) 5599 9886
